Title,Price,Date
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">        Got Data Funny Business Data Analyst T-Shirt       </span>","<span class=""a-price-whole"">12<span class=""a-price-decimal"">.</span></span>",2025-03-02
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">        Got Data Funny Business Data Analyst T-Shirt       </span>","<span class=""a-price-whole"">12<span class=""a-price-decimal"">.</span></span>",2025-03-02
Got Data Funny Business Data Analyst T-Shirt,12..,2025-03-02
Got Data Funny Business Data Analyst T-Shirt,12..,2025-03-02
